
==================================
>> SD Card is successfully init at 698
==================================

[INFO] main::setup() | System restarted at 759
[INFO] main::loop() | Device wakeup, now_timestamp = 14028
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309095
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 14028; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 14734
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309105
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 14734; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 15444
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309115
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 15444; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 16159
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309125
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 16159; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 16874
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309135
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 16874; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 17579
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309145
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 17579; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 18294
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309155
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 18294; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 19011
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309165
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 19011; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 19717
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309175
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 19717; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 20496
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978309185
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 20496; send_status_timestamp = 302965
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds

==================================
>> SD Card is successfully init at 640
==================================

[INFO] main::setup() | System restarted at 705
[DEBUG] es_watchdog::isResetByWatchdog() | The last reset is caused by EXTERNAL
[INFO] main::setup() | The reset was caused by External Reset
[INFO] main::setup() | Initialization DONE, jumping to main loop
[INFO] main::loop() | Device wakeup, now_timestamp = 2974
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307284
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 2974; send_status_timestamp = 302931
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 3730
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307295
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 3730; send_status_timestamp = 302931
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 4521
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307305
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 4521; send_status_timestamp = 302931
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 5266
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307315
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 5266; send_status_timestamp = 302931
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 6022
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307325
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 6022; send_status_timestamp = 302931
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 6779
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307335
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 6779; send_status_timestamp = 302931
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 7530
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307345
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 7530; send_status_timestamp = 302931
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 8314
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307355
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 8314; send_status_timestamp = 302931
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 9073
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307365
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 9073; send_status_timestamp = 302931
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 
==================================
>> SD Card is successfully init at 712
==================================

[INFO] main::setup() | System restarted at 777
[DEBUG] es_watchdog::isResetByWatchdog() | The last reset is caused by EXTERNAL
[INFO] main::setup() | The reset was caused by External Reset
[INFO] main::setup() | Initialization DONE, jumping to main loop
[INFO] main::loop() | Device wakeup, now_timestamp = 3047
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307571
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 3047; send_status_timestamp = 303004
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds

==================================
>> SD Card is successfully init at 708
==================================

[INFO] main::setup() | System restarted at 783
[DEBUG] es_watchdog::isResetByWatchdog() | The last reset is caused by EXTERNAL
[INFO] main::setup() | The reset was caused by External Reset
[INFO] main::setup() | Initialization DONE, jumping to main loop
[INFO] main::loop() | Device wakeup, now_timestamp = 3060
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307203
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 3060; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 3844
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307213
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 3844; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 4633
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307223
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 4633; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 5380
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307233
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 5380; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 6121
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307243
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 6121; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 6868
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307253
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 6868; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 7615
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307263
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 7615; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 8356
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307268
[INFO] main::loop() | Relay data is available
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 8356; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 11646
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307281
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 11646; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 12410
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307291
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 12410; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 13151
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307301
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 13151; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 13898
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307311
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 13898; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 14646
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307316
[INFO] main::loop() | Relay data is available
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 14646; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 17930
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307329
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 17930; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 18688
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307339
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 18688; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 19435
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307349
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 19435; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 20176
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307351
[INFO] main::loop() | Relay data is available
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 20176; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 23466
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307364
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 23466; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 24213
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307374
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 24213; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 24954
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307384
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 24954; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 25701
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307394
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 25701; send_status_timestamp = 303011
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds

==================================
>> SD Card is successfully init at 739
==================================

[INFO] main::setup() | System restarted at 804
[DEBUG] es_watchdog::isResetByWatchdog() | The last reset is caused by EXTERNAL
[INFO] main::setup() | The reset was caused by External Reset
[INFO] main::setup() | Initialization DONE, jumping to main loop
[INFO] main::loop() | Device wakeup, now_timestamp = 3069
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307203
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 3069; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 3816
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307213
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 3816; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 4563
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307223
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 4563; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 5304
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307233
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 5304; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 6052
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307243
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 6052; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 6799
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307251
[INFO] main::loop() | Relay data is available
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 6799; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 10100
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307264
[INFO] main::loop() | Relay data is available
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 10100; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 13384
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307277
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 13384; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 14131
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307287
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 14131; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 14878
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307297
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 14878; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 15619
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307307
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 15619; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 16383
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307317
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 16383; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 17130
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307327
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 17130; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 17871
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307337
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 17871; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 18618
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307347
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 18618; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 19365
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307357
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 19365; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 20106
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307358
[INFO] main::loop() | Relay data is available
1
I am 1 
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 20106; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 23482
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307363
[INFO] main::loop() | Relay data is available
2
I am 1 
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 23482; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 26859
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307368
[INFO] main::loop() | Relay data is available
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 26859; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 30160
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307372
[INFO] main::loop() | Relay data is available
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 30160; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 33444
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307377
[INFO] main::loop() | Relay data is available
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 33444; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 36734
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307390
[INFO] main::loop() | Relay data is available
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 36734; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 40024
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307395
[INFO] main::loop() | Relay data is available
3
I am 1 
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 40024; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 43400
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307408
[INFO] main::loop() | Relay data is available
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 43400; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 46684
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307419
[INFO] main::loop() | Relay data is available
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
0FFB
To see what is in the buffer 
AT+SEND=1,0,8,0,

To see what is sent 
AT+SEND=1,0,8,0,D0CB0A

This is the packet which is sent : AT+SEND=1,0,8,0,D0CB0A

1
2
3
I am 1 
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 46684; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
[INFO] main::loop() | Device wakeup, now_timestamp = 52559
[INFO] main::loop() | Device wakeup, Current RTC Epoch = 978307435
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp = 52559; send_status_timestamp = 303026
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds
