
==================================
>> SD Card is successfully init at 609
==================================

[INFO] main::setup() | System restarted at 669
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507379; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507379; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507389
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507389; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507389; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507399
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507399; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507399; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507409
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507409; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507409; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507409
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507409; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507409; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507412
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507412; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507412; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507418
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507418; send_status_timestamp_s = 1740507420
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507418; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507420
[INFO] main::loop() | Sending status packet, next status packet is scheduled at 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507420; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507425
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507425; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507425; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507427
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507427; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507427; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507432
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507432; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507432; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507434
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507434; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507434; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507445
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507445; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507445; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507455
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507455; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507455; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507465
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507465; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507465; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507467
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507467; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507467; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507478
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507478; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507478; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507488
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507488; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507488; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507498
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507498; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507498; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507508
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507508; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507508; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507518
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507518; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507518; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507528
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507528; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507528; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507538
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507538; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507538; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507548
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507548; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507548; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507558
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507558; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507558; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507568
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507568; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507568; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507578
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507578; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507578; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507588
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507588; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507588; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507598
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507598; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507598; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507608
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507608; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507608; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507618
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507618; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507618; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507628
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507628; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507628; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507638
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507638; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507638; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507648
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507648; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507648; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507658
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507658; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507658; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507668
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507668; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507668; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507669
[INFO] main::loop() | Relay data is available
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
To see what is in the buffer 
AT+SEND=1,0,8,0,40ACBD0B26000000010004D2A70BB5DD36928D

To see what is sent 
AT+SEND=1,0,8,0,260BBDAC0004D2A70BB500000CEC0000

This is the packet which is sent : AT+SEND=1,0,8,0,260BBDAC0004D2A70BB500000CEC0000

Data Frame Counter0000
Data Battery0CEC
Data Frame Problem0000
I am 2 
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507669; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507669; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507676
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507676; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507676; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507687
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507687; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507687; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507692
[INFO] main::loop() | Relay data is available
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
To see what is in the buffer 
AT+SEND=1,0,8,0,40ACBD0B26000000010004D6A80BB52ECD94A5

To see what is sent 
AT+SEND=1,0,8,0,260BBDAC0004D6A80BB500010CEC0000

This is the packet which is sent : AT+SEND=1,0,8,0,260BBDAC0004D6A80BB500010CEC0000

Data Frame Counter0001
Data Battery0CEC
Data Frame Problem0000
I am 2 
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507692; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507692; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507699
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507699; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507699; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507710
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507710; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507710; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507720
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507720; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507720; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507730
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507730; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507730; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507740
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507740; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507740; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507750
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507750; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507750; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507760
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507760; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507760; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507770
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507770; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507770; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507780
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507780; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507780; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507790
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507790; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507790; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507800
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507800; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507800; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507810
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507810; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507810; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507820
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507820; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507820; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507830
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507830; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507830; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507840
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507840; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507840; relay_reset_timestamp_s = 1740510900
[INFO] main::loop() | Reloading Watchdog
[INFO] main::loop() | Go to sleep for 10 seconds





[INFO] main::loop() | Device wakeup, now_timestamp_s = 1740507850
[INFO] main::loop() | Sending status packet timeout is not due. now_timestamp_s = 1740507850; send_status_timestamp_s = 1740509220
[INFO] main::loop() | Relay reset timeout is not due. now_timestamp_s = 1740507850; relay_reset_timestamp_s = 1740510900
